,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv
0,2024-05-29 02:15:13,67939.09,67939.09,67939.09,67939.09,2024-05-29 02:15:13,100.0,99.97345015267554,100.0,100.0,33969.545,False,False,Hold,67939.086,67922.19476644951,50.0,0,0,0.0,0.0,2038172.1000000006,-120199831.5384616,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
1,2024-05-29 02:15:14,67939.08,67939.09,67939.08,67939.08,2024-05-29 02:15:14,100.0,99.97345015267554,100.0,100.0,54351.266,False,True,Buy,67939.086,67922.19476644951,50.0,0,0,0.0,0.0,2038172.1000000006,-120199831.5384616,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
2,2024-05-29 02:15:15,67939.09,67939.09,67939.08,67939.09,2024-05-29 02:15:15,100.0,99.97345015267554,100.0,100.0,62713.00384615385,True,False,Sell,67939.086,67922.19476644951,50.0,0,1,0.0,0.00999999999476131,836173.7846153846,-120199831.5384616,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
3,2024-05-29 02:15:16,67939.08,67939.09,67939.08,67939.09,2024-05-29 02:15:16,100.0,99.97345015267554,100.0,100.0,65940.88058823529,False,False,Hold,67939.086,67922.19476644951,50.0,1,2,-0.00999999999476131,0.0,322787.674208144,-51338611.04072406,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
4,2024-05-29 02:15:17,67939.08,67939.09,67939.08,67939.08,2024-05-29 02:15:17,100.0,99.97345015267554,100.0,100.0,67175.72292134831,False,True,Buy,67939.086,67922.19476644951,50.0,2,0,-0.00999999999476131,0.0,123484.2333113018,-19930344.089684222,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
5,2024-05-29 02:15:18,67939.09,67939.09,67939.08,67939.08,2024-05-29 02:15:18,100.0,99.97345015267554,100.0,100.0,67647.49725321888,False,False,Hold,67939.084,67922.19476644951,50.0,3,1,0.0,0.00999999999476131,47177.43318705761,-7630680.012424419,-0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
6,2024-05-29 02:15:19,67939.09,67939.09,67939.09,67939.09,2024-05-29 02:15:19,100.0,99.97345015267554,100.0,100.0,67827.71113114755,True,False,Sell,67939.086,67922.19476644951,50.0,0,2,0.0,0.00999999999476131,18021.387792866153,-2915604.5394191463,0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
7,2024-05-29 02:15:20,67939.09,67939.09,67939.08,67770.18266449512,2024-05-29 02:15:20,100.0,99.97345015267554,100.0,100.0,67792.15659352328,False,True,Buy,67905.30453289903,67922.19476644951,50.0,1,0,0.0,0.0,-3555.453762426623,-2157684.1555292774,-3378.1467100969166,-337834.671009623,-0.04999999946448952,4.999999946448952
8,2024-05-29 02:15:21,67939.09,67939.09,67939.08,67939.08,2024-05-29 02:15:21,100.0,99.97345015267554,100.0,100.0,67882.96024871003,False,False,Hold,67905.30253289903,67922.19476644951,50.0,2,1,0.0,0.0,9080.365518675535,1263581.9281102158,-0.1999999993131496,337794.67100976035,-0.04999999946448952,4.999999946448952
9,2024-05-29 02:15:22,67939.08,67939.09,67939.08,67939.09,2024-05-29 02:15:22,100.0,99.97345015267554,100.0,100.0,67917.6503425778,True,False,Sell,67905.30453289903,67922.19476644951,50.0,0,2,0.0,0.0,3469.0093867771793,-561135.6131898356,0.1999999993131496,39.99999986262992,-0.04999999946448952,4.999999946448952
